title;start;CES_parameters;.comment;optimization;cm_iteration_max;cm_nash_mode;cm_calibration_string;c_testOneRegi_region;slurmConfig;cm_floorCostScen;cm_fxIndUe;cm_fxIndUeReg;cm_chaCoalPOSpeed;c_changeProdCost;c_SlackMultiplier;c_keep_iteration_gdxes;cm_techcosts;cm_rcp_scen;cm_iterative_target_adj;cm_flex_tax;cm_VRE_supply_assumptions;subsidizeLearning;c_budgetCO2from2020;carbonprice;cm_co2_tax_startyear;cm_co2_tax_2020;c_peakBudgYr;cm_emiscen;cm_nucscen;c_regi_earlyreti_rate;c_tech_earlyreti_rate;cm_maxProdBiolc;c_ccsinjecratescen;cm_CESMkup_build;cm_CESMkup_ind;techpol;regipol;cm_implicitQttyTarget;cm_emiMktTarget;cm_NucRegiPol;cm_CoalRegiPol;cm_altFeEmiFac;cm_multigasscen;cm_1stgen_phaseout;water;cm_EDGEtr_scen;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau;path_gdx_refpolicycost;description
testOneRegi-Base;0;;;testOneRegi;;;;CHA;8;default;;;base;5;;1;REG2040;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;testOneRegi-Base: This is a test scenario which only runs a single region, not to be used in production.
# H12 SSP2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP2-EFC-NPi-calibrate;0;calibrate;;;;;;;5;pricestruc;;;base;5;;1;REG2040;rcp45;;1;0;;0;NPi;1;1;2100;9;2;GLO 0.04, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.04, CHA_regi.pc 0.01, IND_regi.pc 0.01;;;;;NPi2018;regiCarbonPrice;;;on;on;EUR_regi, NEU_regi;3;;heat;Mix1;2005;;;;;SSP2-EFC-NPi-calibrate: This reference policy/baseline scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road.
SSP2-EFC-Base;0;;;;;;;;;pricestruc;;;;5;;1;REG2040;;;1;0;;0;;;;2100;;;GLO 0.04, EUR_regi 0.15;off;;;;;;;;;;;EUR_regi, NEU_regi;;;heat;Mix1;2005;;;;;SSP2-Base: This baseline calibration scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road.
SSP2-EFC-NDC;0;;;;;;;;1;pricestruc;;;;5;;1;REG2040;rcp45;3;1;0;globallyOptimal;0;NDC;1;1;2100;9;2;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;2020.2030.EUR_regi.all.year.netGHG_LULUCFGrassi 2.450;on;on;EUR_regi, NEU_regi;3;;heat;Mix2;2025;;SSP2-EFC-NPi;SSP2-EFC-NPi;;SSP2-EFC-NDC: This Nationally Determined Contribution (NDC) scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The NDC includes all pledged policies even if not yet implemented. It assumes that the moderate and heterogeneous climate ambition reflected in the NDCs at the begining of 2021 continues over the 21st century. This scenario serves as reference for all other policy scenarios and The NPi scenario until 2020.
SSP2-EFC-NPi;0;;;;;;efciv;;5;pricestruc;on;CHA;;5;;1;REG2040;rcp45;3;1;0;;0;NPi;1;1;2100;9;2;GLO 0.04, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.04, CHA_regi.pc 0.01, IND_regi.pc 0.01;;;;;NPi2018;regiCarbonPrice;;;on;on;EUR_regi, NEU_regi;3;;heat;Mix1;2005;;;;;SSP2-EFC-NPi: This National Policies Implemented (Npi) scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The NPi is identical to the NDC scenario until 2020 but assumes that policies fail to achieve NDC targets in 2030. Instead, carbon prices are assumed to grow and converge more slowly, leading to emissions trajectories in line with bottom-up studies on the effect of currently implemented policies.
SSP2-EFC-NDC_cpol_190;0;;;;;;efciv;;1;pricestruc;on;CHA;plateau25;5;;1;REG2040;rcp26;9;1;1;globallyOptimal;900;diffCurvPhaseIn2Lin;100;100;2100;9;2;GLO 0.04, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.05, REF_regi.pc 0.04, CHA_regi.pc 0.03, IND_regi.pc 0.01;75;5;feelhpb 1.05, fehob 1.75, feheb 0.35;feh2_otherInd 1.05, feelhth_otherInd 0.43, feh2_cement 2.2, feelhth_chemicals 1.4, feh2_chemicals 1.05;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;2020.2050.CHA.all.budget.netCO2 190, 2020.2060.CHA.all.year.netGHG_LULUCFGrassi 0.1, 2020.2050.EUR.all.year.netGHG_LULUCFGrassi 0.1, 2020.2050.USA.all.year.netGHG_LULUCFGrassi 0.1;on;on;EUR_regi, NEU_regi;3;0;heat;Mix4;2025;;SSP2-EFC-NPi;SSP2-EFC-NPi;;SSP2-EFC-NDC: This Nationally Determined Contribution (NDC) scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The NDC includes all pledged policies even if not yet implemented. It assumes that the moderate and heterogeneous climate ambition reflected in the NDCs at the begining of 2021 continues over the 21st century. This scenario serves as reference for all other policy scenarios and The NPi scenario until 2020.
SSP2-EFC-NDC_cpol_190_delayed;0;;;;;;efciv;;5;pricestruc;on;CHA;plateau25;5;;1;REG2040;rcp26;9;1;1;globallyOptimal;900;diffCurvPhaseIn2Lin;100;100;2100;9;2;GLO 0.04, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.05, REF_regi.pc 0.04, CHA_regi.pc 0.02, IND_regi.pc 0.01;75;5;feelhpb 1.05, fehob 1.75, feheb 0.35, fegab 2;feh2_otherInd 1.05, feelhth_otherInd 0.43, feh2_cement 2.2, feelhth_chemicals 1.4, feh2_chemicals 1.05;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;2020.2050.CHA.all.budget.netCO2 190, 2020.2060.CHA.all.year.netGHG_LULUCFGrassi 0.1, 2020.2050.EUR.all.year.netGHG_LULUCFGrassi 0.1, 2020.2050.USA.all.year.netGHG_LULUCFGrassi 0.1;on;on;EUR_regi, NEU_regi;3;0;heat;Mix4;2025;;SSP2-EFC-NPi;SSP2-EFC-NPi;;SSP2-EFC-NDC: This Nationally Determined Contribution (NDC) scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The NDC includes all pledged policies even if not yet implemented. It assumes that the moderate and heterogeneous climate ambition reflected in the NDCs at the begining of 2021 continues over the 21st century. This scenario serves as reference for all other policy scenarios and The NPi scenario until 2020.
SSP2-EFC-NDC_cpol_210_delayed;0;;;;;;efciv;;5;pricestruc;on;CHA;plateau25;5;;1;REG2040;rcp26;9;1;1;globallyOptimal;900;diffCurvPhaseIn2Lin;100;100;2100;9;2;GLO 0.04, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.05, REF_regi.pc 0.04, CHA_regi.pc 0.02, IND_regi.pc 0.01;75;5;feelhpb 1.05, fehob 1.75, feheb 0.35, fegab 2;feh2_otherInd 1.05, feelhth_otherInd 0.43, feh2_cement 2.2, feelhth_chemicals 1.4, feh2_chemicals 1.05;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;2020.2050.CHA.all.budget.netCO2 210, 2020.2060.CHA.all.year.netGHG_LULUCFGrassi 0.1, 2020.2050.EUR.all.year.netGHG_LULUCFGrassi 0.1, 2020.2050.USA.all.year.netGHG_LULUCFGrassi 0.1;on;on;EUR_regi, NEU_regi;3;0;heat;Mix4;2025;;SSP2-EFC-NPi;SSP2-EFC-NPi;;SSP2-EFC-NDC: This Nationally Determined Contribution (NDC) scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The NDC includes all pledged policies even if not yet implemented. It assumes that the moderate and heterogeneous climate ambition reflected in the NDCs at the begining of 2021 continues over the 21st century. This scenario serves as reference for all other policy scenarios and The NPi scenario until 2020.
SSP2-EFC-NDC_cpol_230_delayed;0;;okay aug 6;;;;steelfix;;5;pricestruc;on;CHA;plateau25;1;;1;REG2040;rcp26;9;1;1;globallyOptimal;900;diffCurvPhaseIn2Lin;100;100;2080;9;2;GLO 0.04, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.05, REF_regi.pc 0.04, CHA_regi.pc 0.01, IND_regi.pc 0.01;75;5;feelhpb 1.05, fehob 1.75, feheb 0.35, fegab 2;feh2_otherInd 1.05, feelhth_otherInd 0.43, feh2_cement 2.2, feelhth_chemicals 1.4, feh2_chemicals 1.05;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;2020.2050.CHA.all.budget.netCO2 230, 2020.2060.CHA.all.year.netGHG_LULUCFGrassi 0.1, 2020.2050.EUR.all.year.netGHG_LULUCFGrassi 0.1, 2020.2050.USA.all.year.netGHG_LULUCFGrassi 0.1;on;on;EUR_regi, NEU_regi;3;0;heat;Mix4;2030;;SSP2-EFC-NPi;SSP2-EFC-NPi;;SSP2-EFC-NDC: This Nationally Determined Contribution (NDC) scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The NDC includes all pledged policies even if not yet implemented. It assumes that the moderate and heterogeneous climate ambition reflected in the NDCs at the begining of 2021 continues over the 21st century. This scenario serves as reference for all other policy scenarios and The NPi scenario until 2020.
